stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,station_color,color_code,interchange
73,,Kaushambi,,28.645428,77.322273,Blue,#0000FF,FALSE
74,,Anand Vihar,,28.647005,77.316185,Black,#000000,TRUE
75,,Karkarduma,,28.648653,77.304581,Black,#000000,TRUE
76,,Preet Vihar,,28.641352,77.295158,Blue,#0000FF,FALSE
77,,Nirman Vihar,,28.637049,77.287872,Blue,#0000FF,FALSE
78,,Laxmi Nagar,,28.629843,77.276428,Blue,#0000FF,FALSE
79,,Noida City Centre,,28.574593,77.356117,Blue,#0000FF,FALSE
80,,Golf Course,,28.566917,77.345726,Blue,#0000FF,FALSE
81,,Botanical Garden,,28.564198,77.334656,Black,#000000,TRUE
82,"",Noida Sec -18,,28.570843,77.326088,Blue,#0000FF,FALSE
83,"",Noida Sec -16,,28.577921,77.318115,Blue,#0000FF,FALSE
84,"",Noida Sec -15,,28.585018,77.311584,Blue,#0000FF,FALSE
85,,New Ashok Nagar,,28.58847,77.30146,Blue,#0000FF,FALSE
86,,Mayur Vihar Ext,,28.594124,77.294495,Blue,#0000FF,FALSE
87,"",Mayur Vihar-I,,28.604425,77.289421,Black,#000000,TRUE
88,,Akshardham,,28.618364,77.279816,Blue,#0000FF,FALSE
89,,Yamuna Bank,,28.623178,77.267937,Blue,#0000FF,FALSE // Note: Branch point, but listed only under Blue/Vaishali Branch.
90,,Indraprastha,,28.620272,77.250076,Blue,#0000FF,FALSE
91,,Supreme Court,,28.623438,77.2425,Blue,#0000FF,FALSE
92,,Mandi House,,28.625816,77.234726,Black,#000000,TRUE
93,,Barakhamba,,28.629662,77.224876,Blue,#0000FF,FALSE
94,,RK Ashram Marg,,28.639217,77.206291,Blue,#0000FF,FALSE
95,,Jhandewalan,,28.644312,77.199791,Blue,#0000FF,FALSE
96,,Karol Bagh,,28.643925,77.188416,Blue,#0000FF,FALSE
97,,Rajendra Place,,28.64241,77.191833,Blue,#0000FF,FALSE
98,,Patel Nagar,,28.645037,77.167046,Blue,#0000FF,FALSE
99,,Shadipur,,28.65143,77.156021,Blue,#0000FF,FALSE
100,,Kirti Nagar,,28.655773,77.148499,Black,#000000,TRUE
101,,Moti Nagar,,28.657803,77.140488,Blue,#0000FF,FALSE
102,,Ramesh Nagar,,28.652809,77.131462,Blue,#0000FF,FALSE
103,,Rajouri Garden,,28.649157,77.122749,Black,#000000,TRUE
